text_type;text;item_type;category
header;Bøyningsendelser del 1;word_endings;
choiceNames;Ikke ennå,Noen ganger,Ofte;word_endings;
menuButton;Ordformer;word_forms;
header;Ordformer;word_forms;
longText;Her er noen andre ord som barn lærer seg. Kryss av de ordene som barnet ditt bruker.;word_forms;firstPage
catHeader;Substantiv (flertallsformer);word_forms;word_forms_nouns
catHeader;Verb (fortidsformer);word_forms;word_forms_verbs
menuButton;Bøyningsendelser del 2;word_endings2;
header;Bøyningsendelser del 2;word_endings2;
longText;Små barn bruker ofte feil form eller endelser på ordene. De kan for eksempel si ‘tante gådde hjem’. Slike feil er ofte tegn på at barnets språk utvikler seg. I listen på neste side finner du noen eksempler. Kryss av de feilene du har hørt ditt barn si nylig.;word_endings2;firstPage
catHeader;Substantiv (flertalls- og bestemthetsformer);word_endings2;word_endings_nouns
catHeader;Verb (fortidsformer);word_endings2;word_endings_verbs
menuButton;Kombinere ord;combine;
header;Kombinere ord;combine;
choiceNames;Ikke ennå,Noen ganger,Ofte;combine;
help;Avsnittene “De tre lengste setningene” og “Kompleksitet” blir aktivert hvis du velger svaret “Noen ganger” eller “Ofte” her.;combine;
header;De tre lengste setningene;sentences3;
menuButton;De tre lengste setningene;sentences3;
tooltip;Dette avsnittet åpnes avhengig av svarene dine i “Kombinere ord”.;sentences3;
instr;Eksempler: Skriv de tre lengste setningene du har hørt barnet ditt si nylig;sentences3;
header;Kompleksitet;complexity;
menuButton;Kompleksitet;complexity;
tooltip;Dette avsnittet åpnes avhengig av svarene dine i “Kombinere ord”.;complexity;
instr;I de følgende parene skal du krysse av det alternativet som ligner mest på måten barnet ditt snakker akkurat nå. Om barnet sier setninger som er lengre og mer sammensatte enn eksemplene, velger du den andre/siste setningen, som er den mest komplekse av de to. De setningene som er for vanskelige for ditt barn nå, krysser du ikke av, men hopper bare over.;complexity;complexity1
instr;I de følgende parene skal du krysse av det alternativet som ligner mest på måten barnet ditt snakker akkurat nå. Om barnet sier setninger som er lengre og mer sammensatte enn eksemplene, velger du den andre/siste setningen, som er den mest komplekse av de to. De setningene som er for vanskelige for ditt barn nå, krysser du ikke av, men hopper bare over.;complexity;complexity2
instr;I de følgende parene skal du krysse av det alternativet som ligner mest på måten barnet ditt snakker akkurat nå. Om barnet sier setninger som er lengre og mer sammensatte enn eksemplene, velger du den andre/siste setningen, som er den mest komplekse av de to. De setningene som er for vanskelige for ditt barn nå, krysser du ikke av, men hopper bare over.;complexity;complexity3
instr;I de følgende parene skal du krysse av det alternativet som ligner mest på måten barnet ditt snakker akkurat nå. Om barnet sier setninger som er lengre og mer sammensatte enn eksemplene, velger du den andre/siste setningen, som er den mest komplekse av de to. De setningene som er for vanskelige for ditt barn nå, krysser du ikke av, men hopper bare over.;complexity;complexity4
instr;I de følgende parene skal du krysse av det alternativet som ligner mest på måten barnet ditt snakker akkurat nå. Om barnet sier setninger som er lengre og mer sammensatte enn eksemplene, velger du den andre/siste setningen, som er den mest komplekse av de to. De setningene som er for vanskelige for ditt barn nå, krysser du ikke av, men hopper bare over.;complexity;complexity5
instr;I de følgende parene skal du krysse av det alternativet som ligner mest på måten barnet ditt snakker akkurat nå. Om barnet sier setninger som er lengre og mer sammensatte enn eksemplene, velger du den andre/siste setningen, som er den mest komplekse av de to. De setningene som er for vanskelige for ditt barn nå, krysser du ikke av, men hopper bare over.;complexity;complexity6
endMsgText;Tusen takk for at du har fylt ut dette spørreskjemaet! Vi håper at du syntes det var interessant å reflektere over ditt barns språklige utvikling. Ditt bidrag til forskningen om barns språkutvikling er viktig - det vil hjelpe oss til å forstå den bedre.;end;
